"eventID","fieldNumber"
"9d26c89c-9500-4711-b4a7-78b829a09d6e","NTNU-VM_HK_2019_NVE:vatnLnr:35347"
"f2fedf0d-9b3b-4e29-a44a-efc7107c7ba5","NTNU-VM_HK_2019_NVE:vatnLnr:114"
"75426915-3ae0-46c0-8632-f645664c054b","NTNU-VM_HK_2019_NVE:vatnLnr:35338"
"68f8efd9-b538-4769-b5f3-11b9af8b8945","NTNU-VM_HK_2019_NVE:vatnLnr:246"
"2e10e79a-b196-41cd-9b3e-e3f15232def0","NTNU-VM_HK_2019_NVE:vatnLnr:247"
"d2d2fade-e70d-42f1-ad3e-a333f0e2b613","NTNU-VM_HK_2019_NVE:vatnLnr:177"
"6fca4cd0-bfb6-450b-8321-918aab5991c1","NTNU-VM_HK_2019_NVE:vatnLnr:127"
"feae6392-e931-4656-a21e-8af118f65df4","NTNU-VM_HK_2019_NVE:vatnLnr:1359"
"573a3e35-564e-4e47-b507-f0a4fd12822e","NTNU-VM_HK_2019_NVE:vatnLnr:174"
"a4061432-ea71-4b8f-b303-751785768ae7","NTNU-VM_HK_2019_NVE:vatnLnr:116"
"e24d4809-3fed-45ac-bb76-39e123e303de","NTNU-VM_HK_2019_NVE:vatnLnr:144"
"b70f2549-a2d4-429f-a4db-01cba1f71b35","NTNU-VM_HK_2019_NVE:vatnLnr:1340"
"cee28122-58eb-4585-8d8e-98d8fc2cb2a9","NTNU-VM_HK_2019_NVE:vatnLnr:1358"
"4cb19357-b565-42a2-a071-781295879bc5","NTNU-VM_HK_2019_NVE:vatnLnr:1357"
"9e32fd8a-e7f9-4983-b3cb-6bfe47994773","NTNU-VM_HK_2019_NVE:vatnLnr:35963"
"b7511d63-4931-4814-aa89-dd9e69841ec8","NTNU-VM_HK_2019_NVE:vatnLnr:35663"
"7e73a6ca-b056-46b3-8e9e-42c8939cd134","NTNU-VM_HK_2019_NVE:vatnLnr:35636"
"c9c6b420-3165-4623-92ca-a1be5722ff23","NTNU-VM_HK_2019_NVE:vatnLnr:33384"
"e503b2b2-721b-49d9-abd9-64722fd8b72a","NTNU-VM_HK_2019_NVE:vatnLnr:33401"
"282eea73-015d-4358-9c02-b773e808c0f7","NTNU-VM_HK_2019_NVE:vatnLnr:125"
"de71b213-fc5f-4bb3-ba44-54bf9bd037d5","NTNU-VM_HK_2019_NVE:vatnLnr:33577"
